Epoch,Batch,Loss
5,93,0.09937651455402374
4,87,0.07646042108535767
5,94,0.09813543409109116
4,88,0.09289956092834473
5,95,0.07831820845603943
4,89,0.10855400562286377
5,96,0.07449846714735031
4,90,0.09094123542308807
5,97,0.07806963473558426
4,91,0.09266939014196396
5,98,0.09205958247184753
4,92,0.09755833446979523
5,99,0.08618961274623871
4,93,0.08590918034315109
5,100,0.09891804307699203
4,94,0.07612842321395874
5,101,0.08748412132263184
4,95,0.08409346640110016
5,102,0.09425389766693115
4,96,0.07130609452724457
5,103,0.08899317681789398
4,97,0.09285324811935425
5,104,0.07997473329305649
4,98,0.09277652204036713
5,105,0.09033799171447754
4,99,0.06251956522464752
5,106,0.07755912840366364
4,100,0.08730676770210266
5,107,0.08317869901657104
4,101,0.08575719594955444
5,108,0.07318540662527084
4,102,0.10522075742483139
5,109,0.0745895504951477
4,103,0.10727247595787048
5,110,0.08134528994560242
4,104,0.07608972489833832
5,111,0.09584534168243408
4,105,0.09216642379760742
5,112,0.0618976354598999
4,106,0.09119834750890732
5,113,0.10841698944568634
4,107,0.08044029027223587
5,114,0.09300407022237778
4,108,0.08290068805217743
5,115,0.08469229936599731
4,109,0.09125068783760071
5,116,0.11516235768795013
4,110,0.07388661801815033
5,117,0.07457654178142548
4,111,0.06860407441854477
5,118,0.0651053711771965
4,112,0.09247200191020966
5,119,0.0957205593585968
4,113,0.08194923400878906
5,120,0.08375974744558334
4,114,0.09753241389989853
5,121,0.08442716300487518
4,115,0.08707676827907562
5,122,0.07716386020183563
4,116,0.08272740244865417
5,123,0.09418081492185593
4,117,0.09755303710699081
5,124,0.09611939638853073
4,118,0.07416597008705139
5,125,0.09697478264570236
4,119,0.09647481143474579
5,126,0.07656818628311157
4,120,0.0765661895275116
5,127,0.09569637477397919
4,121,0.1079481989145279
5,128,0.07639028877019882
4,122,0.06416230648756027
